n,left_offset,right_offset
4294867820,61,71
4294867821,10,95
4294867822,93,53
4294867823,100,119
4294867824,121,7
4294867825,46,47
4294867826,1,37
4294867827,8,37
4294867828,9,5
4294867829,18,47
4294867830,71,1
4294867831,90,45
4294867832,63,17
4294867833,8,19
4294867834,21,51
4294867835,4,13
4294867836,13,151
4294867837,60,11
4294867838,7,79
4294867839,190,109
4294867840,7,119
4294867841,16,49
4294867842,7,47
4294867843,4,11
4294867844,1,11
4294867845,62,11
4294867846,7,159
4294867847,18,25
4294867848,19,79
4294867849,106,81
4294867850,3,1
4294867851,22,49
4294867852,25,3
4294867853,114,59
4294867854,37,41
4294867855,22,11
4294867856,51,11
4294867857,10,67
4294867858,33,17
4294867859,12,13
4294867860,71,1
4294867861,66,59
4294867862,13,25
4294867863,14,109
4294867864,121,23
4294867865,138,11
4294867866,7,41
4294867867,30,53
4294867868,3,5
4294867869,62,31
4294867870,1,141
4294867871,22,67
4294867872,5,115
4294867873,12,45
4294867874,13,13
4294867875,2,23
4294867876,15,99
4294867877,10,71
4294867878,65,31
4294867879,16,9
4294867880,9,61
4294867881,70,59
4294867882,27,77
4294867883,28,11
4294867884,85,43
4294867885,58,23
4294867886,7,49
4294867887,98,31
4294867888,45,27
4294867889,22,23
4294867890,47,13
4294867891,16,9
4294867892,25,11
4294867893,22,199
4294867894,55,41
4294867895,88,161
4294867896,193,67
4294867897,4,35
4294867898,25,197
4294867899,32,1
4294867900,19,9
4294867901,70,49
4294867902,7,11
4294867903,4,9
4294867904,25,1
4294867905,8,89
4294867906,3,57
4294867907,52,97
4294867908,25,11
4294867909,60,17
4294867910,7,61
4294867911,22,29
4294867912,15,5
4294867913,18,19
4294867914,73,1
4294867915,106,17
4294867916,43,47
4294867917,4,5
4294867918,19,101
4294867919,12,37
4294867920,31,277
4294867921,70,51
4294867922,135,37
4294867923,34,125
4294867924,13,47
4294867925,16,1
4294867926,11,47
4294867927,34,15
4294867928,9,17
4294867929,56,19
4294867930,69,21
4294867931,36,37
4294867932,43,1
4294867933,210,41
4294867934,27,67
4294867935,38,1
4294867936,21,17
4294867937,18,7
4294867938,79,145
4294867939,36,27
4294867940,81,67
4294867941,40,101
4294867942,3,41
4294867943,124,67
4294867944,41,73
4294867945,66,63
4294867946,75,7
4294867947,22,5
4294867948,27,69
4294867949,28,49
4294867950,13,161
4294867951,48,57
4294867952,93,35
4294867953,2,41
4294867954,7,41
4294867955,46,41
4294867956,175,121
4294867957,12,21
4294867958,25,11
4294867959,28,7
4294867960,43,17
4294867961,18,25
4294867962,23,95
4294867963,30,29
4294867964,1,41
4294867965,34,7
4294867966,55,105
4294867967,4,83
4294867968,47,19
4294867969,106,11
4294867970,9,13
4294867971,20,109
4294867972,45,21
4294867973,18,17
