first_N,last_N,original_minimum12,independent_minimum12
1399596,1401643,84742969367,86821151648
1401644,1403691,85088359192,87205306819
1403692,1405739,85433152853,87588718979
1405740,1407787,85777274100,87971312956
1407788,1409835,86120722349,88353088940
1409836,1411883,86463580257,88734129770
1411884,1413931,86805772036,89114360850
1413932,1415979,87147297221,89493782337
1415980,1418027,87488237302,89872476411
1418028,1420075,87828517775,90250369046
1420076,1422123,88168137823,90627460366
1422124,1424171,88507178355,91003831902
1424172,1426219,88845565333,91379410189
1426220,1428267,89183297706,91754195321
1428268,1430315,89520456618,92128268185
1430316,1432363,89856967562,92501555874
1432364,1434411,90192830306,92874058450
1434412,1436459,90528124594,93245856166
1436460,1438507,90862777200,93616876663
1438508,1440555,91196787427,93987119977
1440556,1442603,91530234552,94356665730
1442604,1444651,91863045818,94725442109
1444652,1446699,92195220524,95093449119
1446700,1448747,92526837601,95460765764
1448748,1450795,92857824638,95827320769
1450796,1452843,93188180937,96193114108
1452844,1454891,93517984729,96558224175
1454892,1456939,93847164302,96922580225
1456940,1458987,94175718491,97286182205
1458988,1461035,94503725762,97649107904
1461036,1463083,94831114169,98011287102
1463084,1465131,95157883130,98372719721
1465132,1467179,95484109828,98733482948
1467180,1469227,95809723599,99093507086
1469228,1471275,96134723629,99452792030
1471276,1473323,96459186170,99811414375
1473324,1475371,96783041139,100169304940
1475372,1477419,97106287837,100526463591
1477420,1479467,97429002402,100882966342
1479468,1481515,97751114750,101238744518
1481516,1483563,98072624299,101593797962
1483564,1485611,98393606138,101948202109
1485612,1487659,98713991465,102301888788
1487660,1489707,99033779348,102654857815
1489708,1491755,99353044759,103007184058
1491756,1493803,99671718548,103358799840
1493804,1495851,99989800248,103709704956
1495852,1497899,100307364016,104059973707
1497900,1499947,100624341866,104409538910
1499948,1501995,100940732518,104758400334
1501996,1504043,101256610010,105106631726
1504044,1506091,101571906707,105454166387
1506092,1508139,101886621443,105801004064
1508140,1510187,102200828026,106147217951
1510188,1512235,102514458470,106492741833
1512236,1514283,102827512426,106837575433
1514284,1516331,103140062419,107181791401
1516332,1518379,103452041512,107525323997
1518380,1520427,103763449122,107868172923
1520428,1522475,104074357193,108210410289
1522476,1524523,104384699719,108551970828
1524524,1526571,104694475419,108892854219
1526572,1528619,105003756238,109233132041
1528620,1530667,105312476283,109572739491
1530668,1532715,105620634509,109911676227
1532716,1534763,105928302160,110250013303
1534764,1536811,106235413928,110587686376
1536812,1538859,106541968882,110924695084
1538860,1540907,106848037685,111261109961
1540908,1542955,107153555378,111596867118
1542956,1545003,107458520797,111931966175
1545004,1547051,107763004489,112266477150
1547052,1549099,108066941727,112600336606
1549100,1551147,108370331814,112933544142
1551148,1553195,108673244249,113266169269
1553196,1555243,108975615003,113598148996
1555244,1557291,109277443028,113929482901
1557292,1559339,109578797477,114260239993
1559340,1561387,109879615367,114590357723
1561388,1563435,110179894953,114919835651
1563436,1565483,110479705384,115248742287
1565484,1567531,110778983216,115577015518
1567532,1569579,111077727749,115904654888
1569580,1571627,111376007087,116231728413
1571628,1573675,111673758365,116558174414
1573676,1575723,111970981000,116883992415
1575724,1577771,112267742399,117209249948
1577772,1579819,112563980394,117533885761
1579820,1581867,112859693821,117857899359
1581868,1583915,113154950202,118181357793
1583916,1585963,113449687603,118504200235
1585964,1588011,113743904978,118826426174
1588012,1590059,114037669030,119148102184
1590060,1592107,114330918760,119469167856
1592108,1594155,114623652538,119789622660
1594156,1596203,114915937068,120109532704
1596204,1598251,115207711583,120428837988
1598252,1600299,115498974337,120747537971
1600300,1602347,115789792034,121065698292
1602348,1604395,116080103558,121383259362
1604396,1606443,116369907860,121700220624
1606444,1608491,116659270715,122016647257
1608492,1610539,116948131821,122332480078
1610540,1612587,117236489895,122647718513
1612588,1614635,117524410015,122962427286
1614636,1616683,117811832693,123276547617
1616684,1618731,118098756647,123590078916
1618732,1620779,118385246489,123903085455
1620780,1622827,118671242729,124215508854
1622828,1624875,118956744321,124527348507
1624876,1626923,119241815409,124838668241
1626924,1628971,119526397320,125149410067
1628972,1631019,119810488307,125459573367
1631020,1633067,120094152749,125769221526
1633068,1635115,120377331739,126078296945
1635116,1637163,120660024229,126386798992
1637164,1639211,120942293433,126694790614
1639212,1641259,121224081376,127002214600
1641260,1643307,121505386428,127309070302
1643308,1645355,121786272036,127615420237
1645356,1647403,122066680109,127921207573
1647404,1649451,122346609365,128226431651
1649452,1651499,122626122785,128531154561
1651500,1653547,122905162512,128835319848
1653548,1655595,123183727264,129138926840
1655596,1657643,123461879440,129442037202
1657644,1659691,123739561880,129744594857
1659692,1661739,124016773304,130046599117
1661740,1663787,124293575645,130348111231
1663788,1665835,124569911858,130649075490
1665836,1667883,124845781130,130949491196
1667884,1669931,125121254008,131249419182
1669932,1671979,125396255170,131548804106
1671980,1674027,125670792767,131847645258
1674028,1676075,125944928498,132146003062
1676076,1678123,126218605088,132443822538
1678124,1680171,126491822302,132741102964
1680172,1682219,126764640212,133037904359
1682220,1684267,127037003170,133334172102
1684268,1686315,127308910246,133629905460
1686316,1688363,127580421511,133925164051
1688364,1690411,127851481549,134219893609
1690412,1692459,128122088732,134514093389
1692460,1694507,128392303828,134807822613
1694508,1696555,128662070957,135101027367
1696556,1698603,128931389655,135393706895
1698604,1700651,129200318595,135685920025
1700652,1702699,135967895621,135977613194
1702700,1704747,136228648712,136268785634
1704748,1706795,136489033466,136559495783
1706796,1708843,136748995864,136849690423
1708844,1710891,137008534977,137139368778
1710892,1712939,137267708312,137428588899
1712940,1714987,137526463018,137717297911
1714988,1717035,137784797232,138005495027
1717036,1719083,138042768929,138293237917
1719084,1721131,138300324557,138580474045
1721132,1723179,138557463418,138867202613
1723180,1725227,138814242323,139153480915
1725228,1727275,139070608885,139439256750
1727276,1729323,139326561708,139724529310
1729324,1731371,139582157135,140009355515
1731372,1733419,139837343478,140293683497
1733420,1735467,140092119341,140577512437
1735468,1737515,140346540603,140860898888
1737516,1739563,140600555576,141143791307
1739564,1741611,140854163561,141426188870
1741612,1743659,141107419971,141708147761
1743660,1745707,141360272886,141989616764
1745708,1747755,141612721607,142270595045
1747756,1749803,141864821780,142551138096
1749804,1751851,142116521717,142831194545
1751852,1753899,142367820721,143110764358
1753900,1755947,142618773039,143389902997
1755948,1757995,142869328847,143668559892
1757996,1760043,143119486281,143946734190
1760044,1762091,143369300290,144224480997
1762092,1764139,143618720117,144501750059
1764140,1766187,143867745064,144778540516
1766188,1768235,144116429146,145054907122
1768236,1770283,144364722073,145330799937
1770284,1772331,144612622680,145606218091
1772332,1774379,144860185217,145881215991
1774380,1776427,145107359858,146155744007
1776428,1778475,145354144973,146429801261
1778476,1780523,145600594813,146703441816
1780524,1782571,145846659317,146976616349
1782572,1784619,146092337090,147249323974
1784620,1786667,146337682381,147521618413
1786668,1788715,146582645131,147793450646
1788716,1790763,146827224176,148064819783
1790764,1792811,147071473067,148335779203
1792812,1794859,147315342677,148606280192
1794860,1796907,147558831144,148876321850
1796908,1798955,147801992017,149145957222
1798956,1801003,148044775938,149415137894
1801004,1803051,148287182208,149683862958
1803052,1805099,148529262980,149952185127
1805100,1807147,148770970059,150220056283
1807148,1809195,149012301815,150487475511
1809196,1811243,149253310635,150754495196
1811244,1813291,149493948556,151021067513
1813292,1815339,149734213715,151287191542
1815340,1817387,149974158732,151552919340
1817388,1819435,150213735410,151818203375
1819436,1821483,150452942587,152083042717
1821484,1823531,150691831484,152347489105
1823532,1825579,150930354371,152611495292
1825580,1827627,151168510550,152875060345
1827628,1829675,151406351244,153138235679
1829676,1831723,151643828954,153400974336
1831724,1833771,151880942285,153663275374
1833772,1835819,152117742225,153925189895
1835820,1837867,152354181976,154186671222
1837868,1839915,152590259909,154447718407
1839916,1841963,152826026780,154708382239
1841964,1844011,153061436256,154968616321
1844012,1846059,153296486474,155228419700
