Z,lieb,nam,hps_s2,hps_s3,hps_simplified,best_published,best_name
27,54.000000000000000000,41.939999999999997726,41.471883092036776475,41.974623689584177555,42.199500000000000455,41.471883092036776475,hps_s2
28,56.000000000000000000,43.269766915626981074,42.787293229975290387,43.234963285823944545,43.464355887502648557,42.787293229975290387,hps_s2
29,58.000000000000000000,44.596950477057546891,44.100154458439980942,44.491981916171354783,44.725767302743392406,44.100154458439980942,hps_s2
30,60.000000000000000000,45.921697517861574056,45.410611653219845607,45.745867490127615440,45.983930023815432264,45.410611653219845607,hps_s2
31,62.000000000000000000,47.244141957174178970,46.718796947861491731,46.996791454545146394,47.239022609565573418,46.718796947861491731,hps_s2
32,64.000000000000000000,48.564406311809193539,48.024831225621255726,48.244910714422395870,48.491208415745596483,48.024831225621255726,hps_s2
33,66.000000000000000000,49.882602989987475439,49.328825395943709964,49.490369277183297925,49.740637319983306952,49.328825395943709964,hps_s2
34,68.000000000000000000,51.198835403832447355,50.630881492123961607,50.733299667342812711,50.987447205109937443,50.630881492123961607,hps_s2
35,70.000000000000000000,52.513198930565764044,51.931093619687388241,51.973824149370784653,52.231765240754356228,51.931093619687388241,hps_s2
36,72.000000000000000000,53.825781746683880158,53.229548779443803141,53.212055789446623066,53.473708995578512315,53.212055789446623066,hps_s3
37,74.000000000000000000,55.136665554937863476,54.526327584774278989,54.448099381176454870,54.713387406583812833,54.448099381176454870,hps_s3
38,76.000000000000000000,56.445926220396884787,55.821504889213734657,55.682052255876243407,55.950901627195854360,55.682052255876243407,hps_s3
39,78.000000000000000000,57.753634329042498052,57.115150337597285102,56.914004994448227137,57.186345772056668579,56.914004994448227137,hps_s3
40,80.000000000000000000,59.059855680060181271,58.407328851787944757,58.144042054997363778,58.419807573413578439,58.144042054997363778,hps_s3
41,82.000000000000000000,60.364651721148185004,59.698101060181329558,59.372242328001085809,59.651368961530920387,59.372242328001085809,hps_s3
42,84.000000000000000000,61.668079934659353114,60.987523678698885021,60.598679628943600051,60.881106579545800628,60.598679628943600051,hps_s3
43,86.000000000000000000,62.970194181160174196,62.275649849766239186,61.823423136768226982,62.109092241546896673,61.823423136768226982,hps_s3
44,88.000000000000000000,64.271045005978180598,63.562529444773232967,63.046537785218468741,63.335393341304254022,63.046537785218468741,hps_s3
45,90.000000000000000000,65.570679913470186762,64.848209334685222416,64.268084613077519407,64.560073217960251668,64.268084613077519407,hps_s3
46,92.000000000000000000,66.869143613047839381,66.132733632788387013,65.488121078433110256,65.783191484063792132,65.488121078433110256,hps_s3
47,94.000000000000000000,68.166478240416083167,67.416143912978270691,66.706701341359206481,67.004804320554782748,66.706701341359206481,hps_s3
48,96.000000000000000000,69.462723556992841623,68.698479406520547741,67.923876518787807299,68.224964742657121519,67.923876518787807299,hps_s3
49,98.000000000000000000,70.757917130068918254,69.979777179808820620,69.139694914824829652,69.443722840091879789,69.139694914824829652,hps_s3
50,100.000000000000000000,72.052094495921153339,71.260072295302919088,70.354202229325665030,70.661125994561544417,70.354202229325665030,hps_s3
51,102.000000000000000000,73.345289307798566369,72.539397957541837059,71.567441747172978239,71.877219077064751218,71.567441747172978239,hps_s3
52,104.000000000000000000,74.637533470451742801,73.817785645879524736,72.779454510382905141,73.092044627268990098,72.779454510382905141,hps_s3
53,106.000000000000000000,75.928857262663214556,75.095265235381390312,73.990279474895785938,74.305643016884289409,73.990279474895785938,hps_s3
54,108.000000000000000000,77.219289449053860608,76.371865107140038731,75.199953653675308374,75.518052598738478309,75.199953653675308374,hps_s3
55,110.000000000000000000,78.508857382284162441,77.647612249113834082,76.408512247541779061,76.729309843045570005,76.408512247541779061,hps_s3
56,112.000000000000000000,79.797587096634330806,78.922532348459199625,77.615988764993019799,77.939449462179112516,77.615988764993019799,hps_s3
57,114.000000000000000000,81.085503393830407504,80.196649876212546815,78.822415132118763381,79.148504525107213681,78.822415132118763381,hps_s3
58,116.000000000000000000,82.372629921883401494,81.469988165078021325,80.027821793586014110,80.356506562511185621,80.027821793586014110,hps_s3
59,118.000000000000000000,83.658989247619786056,82.742569480991150499,81.232237805561140931,81.563485663493040079,81.232237805561140931,hps_s3
60,120.000000000000000000,84.944602923506593584,84.014415089052690178,82.435690921337226200,82.769470564675458490,82.435690921337226200,hps_s3
61,122.000000000000000000,86.229491549306516163,85.285545314361826286,83.638207670351164325,83.974488732408687497,83.638207670351164325,hps_s3
62,124.000000000000000000,87.513674829041221415,86.555979598219948912,84.839813431199488036,85.178566438721631471,84.839813431199488036,hps_s3
63,126.000000000000000000,88.797171623689166609,87.825736550125810709,86.040532499198164373,86.381728831585576245,86.040532499198164373,hps_s3
64,128.000000000000000000,90.079999999999998295,89.094833995939040960,87.240388148973238458,87.584000000000003183,87.240388148973238458,hps_s3
65,130.000000000000000000,91.362177275767166407,90.363289022549196261,88.439402692519607285,88.785403034356235707,88.439402692519607285,hps_s3
66,132.000000000000000000,92.643720061866559945,91.631118019353806403,89.637597533120214166,89.985960082488759326,89.637597533120214166,hps_s3
67,134.000000000000000000,93.924644301337025354,92.898336716817894398,90.834993215478604611,91.185692401782731054,90.834993215478604611,hps_s3
68,136.000000000000000000,95.204965305752040194,94.164960222360576836,92.031609472383237858,92.384620407669402198,92.031609472383237858,hps_s3
69,138.000000000000000000,96.484697789107030985,95.431003053790718127,93.227465268190414349,93.582763718809388820,93.227465268190414349,hps_s3
70,140.000000000000000000,97.763855899425664120,96.696479170491656419,94.422578839385735705,94.780141199234222427,94.422578839385735705,hps_s3
71,142.000000000000000000,99.042453248268557786,97.961402002536516420,95.616967732458675755,95.976770997691403409,95.616967732458675755,hps_s3
72,144.000000000000000000,100.320502938311420849,99.225784477898685054,96.810648839303951263,97.172670584415243411,96.810648839303951263,hps_s3
73,146.000000000000000000,101.598017589143694295,100.489639047906408109,98.003638430342419952,98.367856785524935503,98.003638430342419952,hps_s3
74,148.000000000000000000,102.875009361425227894,101.752977711077392087,99.195952185538217805,99.562345815233641133,99.195952185538217805,hps_s3
75,150.000000000000000000,104.151489979526232332,103.015812035456946205,100.387605223471524596,100.756153306034988759,100.387605223471524596,hps_s3
76,152.000000000000000000,105.427470752764676831,104.278153179572086628,101.578612128613571031,101.949294337019580325,101.578612128613571031,hps_s3
77,154.000000000000000000,106.702962595345013597,105.540011912104574776,102.768986976936844258,103.141783460460018773,102.768986976936844258,hps_s3
78,156.000000000000000000,107.977976045093754465,106.801398630376525034,103.958743359982406673,104.333634726791672165,103.958743359982406673,hps_s3
79,158.000000000000000000,109.252521281078614379,108.062323377734827545,105.147894407495613223,105.524861708104836566,105.147894407495613223,hps_s3
80,160.000000000000000000,110.526608140191299867,109.322795859912559990,106.336452808732602193,106.715477520255063837,106.336452808732602193,hps_s3
81,162.000000000000000000,111.800246132766659457,110.582825460440119514,107.524430832530839552,107.905494843688899209,107.524430832530839552,hps_s3
82,164.000000000000000000,113.073444457305825495,111.842421255171984740,108.711840346230218302,109.094925943074443353,108.711840346230218302,hps_s3
83,166.000000000000000000,114.346212014364510878,113.101592025989759804,109.898692833522986234,110.283782685819360836,109.898692833522986234,hps_s3
84,168.000000000000000000,115.618557419663673613,114.360346273738144873,111.084999411305901162,111.472076559551567243,111.084999411305901162,hps_s3
85,170.000000000000000000,116.890489016474532491,115.618692230444736424,112.270770845601234100,112.659818688632725525,112.270770845601234100,hps_s3
86,172.000000000000000000,118.162014887326307644,116.876637870871704195,113.456017566608380776,113.847019849768415156,113.456017566608380776,hps_s3
87,174.000000000000000000,119.433142865080895945,118.134190923442787380,114.640749682943166476,115.033690486774531792,114.640749682943166476,hps_s3
88,176.000000000000000000,120.703880543415891680,119.391358880586523128,115.824976995117268075,116.219840724554515532,115.824976995117268075,hps_s3
89,178.000000000000000000,121.974235286753611263,120.648149008532953985,117.008709008306936994,117.405480382338154755,117.008709008306936994,hps_s3
90,180.000000000000000000,123.244214239671492805,121.904568356598474566,118.191954944455261511,118.590618986228662379,118.191954944455261511,hps_s3
91,182.000000000000000000,124.513824335826242873,123.160623765991047662,119.374723753750444644,119.775265781101666107,119.374723753750444644,hps_s3
92,184.000000000000000000,125.783072306421999542,124.416321878165419434,120.557024125518239543,120.959429741896002497,120.557024125518239543,hps_s3
93,186.000000000000000000,127.051964688250464519,125.671669142756044835,121.738864498564936412,122.143119584333959438,121.738864498564936412,hps_s3
94,188.000000000000000000,128.320507831329024384,126.926671825113444925,122.920253071003742207,123.326343775105385703,122.920253071003742207,hps_s3
95,190.000000000000000000,129.588707906160891525,128.181336013467415569,124.101197809595760191,124.509110541547869389,124.101197809595760191,hps_s3
96,192.000000000000000000,130.856570910639987915,129.435667625739995401,125.281706458634445767,125.691427880853311194,125.281706458634445767,hps_s3
97,194.000000000000000000,132.124102676621134833,130.689672416027946156,126.461786548400269226,126.873303568828163179,126.461786548400269226,hps_s3
98,196.000000000000000000,133.391308876175344267,131.943355980774640557,127.641445403210539666,128.054745168233779395,127.641445403210539666,hps_s3
99,198.000000000000000000,134.658195027548231337,133.196723764649107125,128.820690149087823784,129.235760036730965794,128.820690149087823784,hps_s3
100,200.000000000000000000,135.924766500838330785,134.449781066148574382,129.999527721068460551,130.416355334451111503,129.999527721068460551,hps_s3
101,202.000000000000000000,137.191028523411489459,135.702533042940643782,131.177964870171848588,131.596538031215345654,131.177964870171848588,hps_s3
102,204.000000000000000000,138.456986185065773043,136.954984716959415891,132.356008170048909278,132.776314913421032315,132.356008170048909278,hps_s3
103,206.000000000000000000,139.722644442960785227,138.207140979269041736,133.533664023328014991,133.955692590614376059,133.533664023328014991,hps_s3
104,208.000000000000000000,140.988008126324530167,139.459006594707830118,134.710938667674810176,135.134677501766077512,134.710938667674810176,hps_s3
105,210.000000000000000000,142.253081940949584805,140.710586206324421710,135.887838181580832497,136.313275921266154000,135.887838181580832497,hps_s3
106,212.000000000000000000,143.517870473490091854,141.961884339617597561,137.064368489896708070,137.491493964653471949,137.064368489896708070,hps_s3
107,214.000000000000000000,144.782378195570203161,143.212905406589840140,138.240535369122341081,138.669337594093605048,138.240535369122341081,hps_s3
108,216.000000000000000000,146.046609467713778940,144.463653709624736621,139.416344452467541259,139.846812623618404814,139.416344452467541259,hps_s3
109,218.000000000000000000,147.310568543105034678,145.714133445197319361,140.591801234695054745,141.023924724140073295,140.591801234695054745,hps_s3
110,220.000000000000000000,148.574259571188349582,146.964348707426069041,141.766911076756969123,142.200679428251135050,141.766911076756969123,hps_s3
111,222.000000000000000000,149.837686601115990470,148.214303491474538532,142.941679210235406572,143.377082134821336012,142.941679210235406572,hps_s3
112,224.000000000000000000,151.100853585051368100,149.464001696810669273,144.116110741597225342,144.553138113401843157,144.116110741597225342,hps_s3
113,226.000000000000000000,152.363764381334902964,150.713447130330308710,145.290210656272307688,145.728852508446550473,145.290210656272307688,hps_s3
114,228.000000000000000000,153.626422757519605966,151.962643509352460569,146.463983822563989179,146.904230343359529343,146.463983822563989179,hps_s3
115,230.000000000000000000,154.888832393282825706,153.211594464492037559,147.637434995400155913,148.079276524377121405,147.637434995400155913,hps_s3
116,232.000000000000000000,156.150996883219960409,154.460303542416511391,148.810568819932939277,149.253995844293257278,148.810568819932939277,hps_s3
117,234.000000000000000000,157.412919739526245166,155.708774208491945501,149.983389834993715795,150.428392986034992873,149.983389834993715795,hps_s3
118,236.000000000000000000,158.674604394572043020,156.957009849323696926,151.155902476411370117,151.602472526096079264,151.155902476411370117,hps_s3
119,238.000000000000000000,159.936054203376187388,158.205013775196988490,152.328111080199562366,152.776238937834932585,152.328111080199562366,hps_s3
120,240.000000000000000000,161.197272445982832778,159.452789222422097737,153.500019885619593651,153.949696594643768321,153.500019885619593651,hps_s3
121,242.000000000000000000,162.458262329746105479,160.700339355588369017,154.671633038124724635,155.122849772994811701,154.671633038124724635,hps_s3
122,244.000000000000000000,163.719026991526902748,161.947667269731994111,155.842954592191119900,156.295702655369183276,155.842954592191119900,hps_s3
123,246.000000000000000000,164.979569499805762689,163.194775992420375132,157.013988514041329836,157.468259333074371398,157.013988514041329836,hps_s3
124,248.000000000000000000,166.239892856715925973,164.441668485758270890,158.184738684264431186,158.640523808954583274,158.184738684264431186,hps_s3
